Line;Allele;Population;% of individuals that have the allele;Allele Frequency;Sample Size;Location
1;A*01;China Shanghai;;0.0240;26266;31_12_N_121_30_E
2;A*02;China Shanghai;;0.3130;26266;31_12_N_121_30_E
3;A*03;China Shanghai;;0.0190;26266;31_12_N_121_30_E
4;A*11;China Shanghai;;0.2260;26266;31_12_N_121_30_E
5;A*23;China Shanghai;;0.0020;26266;31_12_N_121_30_E
6;A*24;China Shanghai;;0.1730;26266;31_12_N_121_30_E
7;A*25;China Shanghai;;0.0001;26266;31_12_N_121_30_E
8;A*26;China Shanghai;;0.0260;26266;31_12_N_121_30_E
9;A*29;China Shanghai;;0.0070;26266;31_12_N_121_30_E
10;A*30;China Shanghai;;0.0600;26266;31_12_N_121_30_E
11;A*31;China Shanghai;;0.0360;26266;31_12_N_121_30_E
12;A*32;China Shanghai;;0.0090;26266;31_12_N_121_30_E
13;A*33;China Shanghai;;0.0890;26266;31_12_N_121_30_E
14;A*34;China Shanghai;;0.0005;26266;31_12_N_121_30_E
15;A*36;China Shanghai;;0.0000;26266;31_12_N_121_30_E
16;A*43;China Shanghai;;0.0000;26266;31_12_N_121_30_E
17;A*66;China Shanghai;;0.0004;26266;31_12_N_121_30_E
18;A*68;China Shanghai;;0.0050;26266;31_12_N_121_30_E
19;A*69;China Shanghai;;0.0070;26266;31_12_N_121_30_E
20;A*74;China Shanghai;;0.0004;26266;31_12_N_121_30_E
21;A*80;China Shanghai;;0.0000;26266;31_12_N_121_30_E
22;B*07;China Shanghai;;0.0180;26266;31_12_N_121_30_E
23;B*08;China Shanghai;;0.0070;26266;31_12_N_121_30_E
24;B*13;China Shanghai;;0.1050;26266;31_12_N_121_30_E
25;B*14;China Shanghai;;0.0009;26266;31_12_N_121_30_E
26;B*15;China Shanghai;;0.1500;26266;31_12_N_121_30_E
27;B*18;China Shanghai;;0.0030;26266;31_12_N_121_30_E
28;B*27;China Shanghai;;0.0310;26266;31_12_N_121_30_E
29;B*35;China Shanghai;;0.0430;26266;31_12_N_121_30_E
30;B*37;China Shanghai;;0.0100;26266;31_12_N_121_30_E
31;B*38;China Shanghai;;0.0270;26266;31_12_N_121_30_E
32;B*39;China Shanghai;;0.0280;26266;31_12_N_121_30_E
33;B*40;China Shanghai;;0.1590;26266;31_12_N_121_30_E
34;B*41;China Shanghai;;0.0008;26266;31_12_N_121_30_E
35;B*42;China Shanghai;;0.0001;26266;31_12_N_121_30_E
36;B*44;China Shanghai;;0.0250;26266;31_12_N_121_30_E
37;B*45;China Shanghai;;0.0020;26266;31_12_N_121_30_E
38;B*46;China Shanghai;;0.1120;26266;31_12_N_121_30_E
39;B*47;China Shanghai;;0.0001;26266;31_12_N_121_30_E
40;B*48;China Shanghai;;0.0190;26266;31_12_N_121_30_E
41;B*49;China Shanghai;;0.0008;26266;31_12_N_121_30_E
42;B*50;China Shanghai;;0.0040;26266;31_12_N_121_30_E
43;B*51;China Shanghai;;0.0680;26266;31_12_N_121_30_E
44;B*52;China Shanghai;;0.0270;26266;31_12_N_121_30_E
45;B*53;China Shanghai;;0.0004;26266;31_12_N_121_30_E
46;B*54;China Shanghai;;0.0350;26266;31_12_N_121_30_E
47;B*55;China Shanghai;;0.0300;26266;31_12_N_121_30_E
48;B*56;China Shanghai;;0.0050;26266;31_12_N_121_30_E
49;B*57;China Shanghai;;0.0100;26266;31_12_N_121_30_E
50;B*58;China Shanghai;;0.0680;26266;31_12_N_121_30_E
51;B*59;China Shanghai;;0.0030;26266;31_12_N_121_30_E
52;B*67;China Shanghai;;0.0060;26266;31_12_N_121_30_E
53;B*73;China Shanghai;;0.0001;26266;31_12_N_121_30_E
54;B*78;China Shanghai;;0.0000;26266;31_12_N_121_30_E
55;B*81;China Shanghai;;0.0006;26266;31_12_N_121_30_E
56;DRB1*01;China Shanghai;;0.0140;26266;31_12_N_121_30_E
57;DRB1*04;China Shanghai;;0.1270;26266;31_12_N_121_30_E
58;DRB1*07;China Shanghai;;0.0870;26266;31_12_N_121_30_E
59;DRB1*08;China Shanghai;;0.0810;26266;31_12_N_121_30_E
60;DRB1*09;China Shanghai;;0.1870;26266;31_12_N_121_30_E
61;DRB1*10;China Shanghai;;0.0130;26266;31_12_N_121_30_E
62;DRB1*11;China Shanghai;;0.0620;26266;31_12_N_121_30_E
63;DRB1*12;China Shanghai;;0.1410;26266;31_12_N_121_30_E
64;DRB1*13;China Shanghai;;0.0460;26266;31_12_N_121_30_E
65;DRB1*14;China Shanghai;;0.0490;26266;31_12_N_121_30_E
66;DRB1*15;China Shanghai;;0.1190;26266;31_12_N_121_30_E
67;DRB1*16;China Shanghai;;0.0180;26266;31_12_N_121_30_E
